ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Максим Рядозубов,72,500000,55600,385200,42,В кредите отказано
Валерий Гурбатов,73,500000,56100,386000,43,В кредите отказано
Дмитрий Долбин,74,500000,56600,386800,44,В кредите отказано
Яков Базюков,75,500000,57100,387600,45,В кредите отказано
Пётр Левшов,76,500000,57600,388400,46,В кредите отказано
Владимир Перервин,77,500000,58100,389200,47,В кредите отказано
Роман Московсков,78,500000,58600,390000,48,В кредите отказано
Клавдия Хадайдеева,79,500000,59100,390800,49,В кредите отказано
Руслан Полижаров,80,500000,59600,391600,50,В кредите отказано
Алена Вахнеева,81,500000,60100,392400,51,В кредите отказано
Дмитрий Трогов,82,500000,60600,393200,52,В кредите отказано
Виталий Евдокеев,83,500000,61100,394000,53,В кредите отказано
Марина Пупская,84,500000,61600,394800,54,В кредите отказано
Вера Репова,85,500000,62100,395600,55,В кредите отказано
Ярослав Брусовцев,65,500000,62600,396400,56,В кредите отказано
Илья Шусмиков,66,500000,63100,397200,57,В кредите отказано
Вадим Черницких,67,500000,63600,398000,58,В кредите отказано
Альберт Бижов,68,500000,64100,398800,59,В кредите отказано
Ирина Боровлева,69,500000,64600,399600,60,В кредите отказано
Ксения Груева,70,1000000,15000,400400,60,В кредите отказано
Валерия Святицкая,71,1000000,15250,401200,60,В кредите отказано
Кира Кандыбова,72,1000000,15500,402000,62,В кредите отказано
Константин Лепкарев,73,1000000,15750,402800,61,В кредите отказано
Александра Тухмачева,74,1000000,16000,403600,61,В кредите отказано
Иван Саякин,75,1000000,16250,404400,63,В кредите отказано
Дарья Денегина,76,1000000,16500,405200,62,В кредите отказано
Степан Гашинин,77,1000000,16750,406000,62,В кредите отказано
Юлия Пияшова,78,1000000,17000,406800,64,В кредите отказано
Никита Лубшев,79,1000000,17250,407600,63,В кредите отказано
Галина Курбалиева,80,1000000,17500,408400,63,В кредите отказано
Артур Носыхин,81,1000000,17750,409200,65,В кредите отказано
Владимир Механтьев,82,1000000,18000,410000,64,В кредите отказано
София Брудастова,83,1000000,18250,410800,64,В кредите отказано
София Тикмикова,84,1000000,18500,411600,66,В кредите отказано
Кира Базалиева,85,1000000,18750,412400,65,В кредите отказано
Валерий Саалимов,65,1000000,19000,413200,65,В кредите отказано
Владимир Рифлин,66,1000000,19250,414000,67,В кредите отказано
Степан Алексишев,67,1000000,19500,414800,66,В кредите отказано
Олег Бивзюков,68,1000000,19750,415600,66,В кредите отказано
Аркадий Филюшкин,69,1000000,20000,416400,68,В кредите отказано
Маргарита Бенева,70,1000000,20250,417200,67,В кредите отказано
Леонид Шукляков,71,1000000,20500,418000,67,В кредите отказано
